item_id,title,broadcaster,session_id
flikken-maastricht,Flikken Maastricht,AVROTROS,series-anonymous-v0
rust-en-vreugd,Rust en Vreugd,MAX,series-anonymous-v0
generations,Generations,NTR,series-anonymous-v0
deep-shit,Deep Shit,BNNVARA,series-anonymous-v0
de-joodse-raad,De Joodse Raad,EO,series-anonymous-v0
badgast,Badgast,KRO-NCRV,series-anonymous-v0
dag-nacht,Dag & nacht,AVROTROS,series-anonymous-v0
woeste-grond,Woeste Grond,AVROTROS,series-anonymous-v0
alpha-00,ALPHA 00,NTR,series-anonymous-v0
nood,NOOD,BNNVARA,series-anonymous-v0
tropenjaren,Tropenjaren,BNNVARA,series-anonymous-v0
oogappels,Oogappels,BNNVARA,series-anonymous-v0
nieuw-zeer,Nieuw Zeer,NTR,series-anonymous-v0
elixer,Elixer,BNNVARA,series-anonymous-v0
zuidas,Zuidas,BNNVARA,series-anonymous-v0
bodem,BODEM,BNNVARA,series-anonymous-v0
anoniem,Anoniem,BNNVARA,series-anonymous-v0
de-vuurwerkramp,De Vuurwerkramp,EO,series-anonymous-v0
doodstil,Doodstil,KRO-NCRV,series-anonymous-v0
de-toeslagenaffaire,De Toeslagenaffaire,BNNVARA,series-anonymous-v0
de-verschrikkelijke-jaren-tachtig,De verschrikkelijke jaren tachtig,VPRO,series-anonymous-v0
anne,ANNE+,BNNVARA,series-anonymous-v0
hoogvliegers,Hoogvliegers,EO,series-anonymous-v0
ik-val-niet-ik-dans,"Ik val niet, ik dans",KRO-NCRV,series-anonymous-v0
dertigers,Dertigers,BNNVARA,series-anonymous-v0
de-ring,De Ring,BNNVARA,series-anonymous-v0
buza,BuZa,BNNVARA,series-anonymous-v0
vakkenvullers,Vakkenvullers,AVROTROS,series-anonymous-v0
the-salisbury-poisonings,The Salisbury Poisonings,KRO-NCRV,series-anonymous-v0
fomo-show,FOMO Show,KRO-NCRV,series-anonymous-v0
de-slimste-mens,De slimste mens,KRO-NCRV,trending-anonymous-v0
het-verhaal-van-nederland-de-tweede-wereldoorlog,Het verhaal van Nederland - De Tweede Wereldoorlog,NTR,trending-anonymous-v0
dit-was-het-nieuws,Dit Was Het Nieuws,AVROTROS,trending-anonymous-v0
een-vergetelijk-mooie-reis,Een vergetelijk mooie reis,MAX,trending-anonymous-v0
klinkt-als-een-sekte,Klinkt als een sekte,EO,trending-anonymous-v0
binnenstebuiten,BinnensteBuiten,KRO-NCRV,trending-anonymous-v0
per-seconde-wijzer,Per Seconde Wijzer,BNNVARA,trending-anonymous-v0
break-free,Break Free,BNNVARA,trending-anonymous-v0
zembla,Zembla,BNNVARA,trending-anonymous-v0
first-dates,First Dates,BNNVARA,trending-anonymous-v0
frontlinie,Frontlinie,VPRO,trending-anonymous-v0
cruijff,Cruijff,NTR,trending-anonymous-v0
holland-gate,Holland Gate,KRO-NCRV,trending-anonymous-v0
taboes,Taboes,KRO-NCRV,trending-anonymous-v0
op-weg-naar-the-passion-2026,Op weg naar The Passion 2026,KRO-NCRV,trending-anonymous-v0
eva,Eva,AVROTROS,trending-anonymous-v0
ik-vertrek,Ik Vertrek,AVROTROS,trending-anonymous-v0
keuringsdienst-van-waarde,Keuringsdienst van waarde,KRO-NCRV,trending-anonymous-v0
noord-zuid-oost-west,Noord-Zuid-Oost-West,MAX,trending-anonymous-v0
de-kist,De Kist,EO,trending-anonymous-v0
de-kinderen-van-ruinerwold,De kinderen van Ruinerwold,BNNVARA,trending-anonymous-v0
yous-yay-in-het-wild,Yous & Yay in het wild,VPRO,trending-anonymous-v0
wie-is-de-mol,Wie is de Mol?,AVROTROS,trending-anonymous-v0
meiden-die-rijden,Meiden die Rijden,PowNed,trending-anonymous-v0
dit-is-de-kwestie,Dit is de kwestie,EO,trending-anonymous-v0
dropout-resort,Dropout Resort,PowNed,trending-anonymous-v0
f-35-onder-trumps-vleugels,F-35: Onder Trumps vleugels,VPRO,trending-anonymous-v0
project-dans,Project Dans,NTR,trending-anonymous-v0
2-voor-12,2 voor 12,BNNVARA,public-value-anonymous-v0
niet-de-mol,Niet de Mol,AVROTROS,public-value-anonymous-v0
joanna-lumley-reist-langs-de-donau,Joanna Lumley reist langs de Donau,MAX,public-value-anonymous-v0
npo-doc_1,NPO Doc,AVROTROS,public-value-anonymous-v0
mocronado-s,Mocronado's,WNL,public-value-anonymous-v0
blauw-bloed,Blauw Bloed,EO,public-value-anonymous-v0
van-roosmalen-groenteman,Van Roosmalen & Groenteman,BNNVARA,public-value-anonymous-v0
verward,Verward,BNNVARA,public-value-anonymous-v0
radar,Radar,AVROTROS,public-value-anonymous-v0
vol-gas-door-de-modder,Vol gas door de modder,BNNVARA,public-value-anonymous-v0
fase-8-femicide,Fase 8: Femicide,BNNVARA,public-value-anonymous-v0
boer-zoekt-vrouw,Boer zoekt vrouw,KRO-NCRV,public-value-anonymous-v0
met-het-mes-op-tafel_1,Met het Mes op Tafel,MAX,public-value-anonymous-v0
je-zal-het-maar-hebben,Je Zal Het Maar Hebben,BNNVARA,public-value-anonymous-v0
ik-mis-je_1,Ik mis je,EO,public-value-anonymous-v0
wakker-in-paraguay,Wakker in Paraguay,VPRO,public-value-anonymous-v0
fukushima-een-kernramp-van-binnenuit,"Fukushima, een kernramp van binnenuit",VPRO,public-value-anonymous-v0
de-verwondering,De verwondering,KRO-NCRV,public-value-anonymous-v0
een-schat-aan-shaffy,Een schat aan Shaffy,AVROTROS,public-value-anonymous-v0
de-geknipte-gast,De Geknipte Gast,BNNVARA,public-value-anonymous-v0
moltalk,MolTalk,AVROTROS,public-value-anonymous-v0
twee-kanten-van-een-geschiedenis,Twee kanten van één geschiedenis,MAX,recent-free-v0
nos-nederland-kiest,NOS Nederland Kiest,NTR,recent-free-v0
eus-boekenclub,Eus' Boekenclub,NTR,recent-free-v0
de-vrouwen-van,De vrouwen van ...,EO,recent-free-v0
holi_1,Holi,NTR,recent-free-v0
this-is-not-a-murder-mystery,This is not a murder mystery,AVROTROS,recent-free-v0
stand-van-nederland-aangehaakt,Stand van Nederland: Aangehaakt,WNL,recent-free-v0
wat-houdt-ons-tegen,Wat houdt ons tegen?,HUMAN,recent-free-v0
